181852	Terminator 3: Rise of the Machines	2003	158
478311	Knocked Up	2007	159
415306	Talladega Nights: The Ballad of Ricky Bobby	2006	160
87363	Gremlins	1984	161
119822	As Good As It Gets	1997	162
97733	Lethal Weapon 2	1989	163
111503	True Lies	1994	164
275847	Lilo & Stitch	2002	165
252866	American Pie 2	2001	166
111070	The Santa Clause	1994	167
343818	I, Robot	2004	168
104714	Lethal Weapon 3	1992	169
232500	The Fast and the Furious	2001	170
118998	Doctor Dolittle	1998	171
61852	The Jungle Book	1967	172
77975	Animal House	1978	173
114148	Pocahontas	1995	174
104257	A Few Good Men	1992	175
295701	XXX	2002	176
120812	Rush Hour	1998	177
185937	The Blair Witch Project	1999	178
120647	Deep Impact	1998	179
97778	Look Who's Talking	1989	180
164912	Stuart Little	1999	181
73629	The Rocky Horror Picture Show	1975	182
105417	Sister Act	1992	183
242653	The Matrix Revolutions	2003	184
304669	The Santa Clause 2	2002	185
349205	Cheaper by the Dozen	2003	186
172156	Bad Boys II	2003	187
119217	Good Will Hunting	1997	188
91763	Platoon	1986	189
130623	Dinosaur	2000	190
389860	Click	2006	191
120689	The Green Mile	1999	192
117438	Ransom	1996	193
115433	101 Dalmatians	1996	194
120685	Godzilla	1998	195
371606	Chicken Little	2005	196
100758	Teenage Mutant Ninja Turtles	1990	197
129290	Patch Adams	1998	198
68646	The Godfather	1972	199
78346	Superman	1978	200
